datetime,GF,day,hour
2015-09-01 00:00:00,3652.8,1,0
2015-09-01 01:00:00,3455.0,1,1
2015-09-01 02:00:00,3534.0,1,2
2015-09-01 03:00:00,3365.0,1,3
2015-09-01 04:00:00,3604.0,1,4
2015-09-01 05:00:00,3525.0,1,5
2015-09-01 06:00:00,3494.0000000009313,1,6
2015-09-01 07:00:00,3565.9999999990687,1,7
2015-09-01 08:00:00,3803.0,1,8
2015-09-01 09:00:00,3759.9999999990687,1,9
2015-09-01 10:00:00,14322.000000000931,1,10
2015-09-01 11:00:00,14258.0,1,11
2015-09-01 12:00:00,14072.0,1,12
2015-09-01 13:00:00,14503.0,1,13
2015-09-01 14:00:00,13876.000000000931,1,14
2015-09-01 15:00:00,13527.999999999069,1,15
2015-09-01 16:00:00,13772.0,1,16
2015-09-01 17:00:00,13190.0,1,17
2015-09-01 18:00:00,10070.0,1,18
2015-09-01 19:00:00,12642.999999999069,1,19
2015-09-01 20:00:00,13535.0,1,20
2015-09-01 21:00:00,13020.0,1,21
2015-09-01 22:00:00,13105.0,1,22
2015-09-01 23:00:00,12493.0,1,23
2015-09-02 00:00:00,8926.0,2,0
2015-09-02 01:00:00,3555.0,2,1
2015-09-02 02:00:00,3375.0,2,2
2015-09-02 03:00:00,3445.0,2,3
2015-09-02 04:00:00,3544.0000000009313,2,4
2015-09-02 05:00:00,3555.0,2,5
2015-09-02 06:00:00,3504.0,2,6
2015-09-02 07:00:00,3696.9999999990687,2,7
2015-09-02 08:00:00,3590.0,2,8
2015-09-02 09:00:00,3986.0,2,9
2015-09-02 10:00:00,13700.0,2,10
2015-09-02 11:00:00,12800.999999999069,2,11
2015-09-02 12:00:00,12004.0,2,12
2015-09-02 13:00:00,13014.000000000931,2,13
2015-09-02 14:00:00,13083.000000000931,2,14
2015-09-02 15:00:00,11528.999999999069,2,15
2015-09-02 16:00:00,11574.999999999069,2,16
2015-09-02 17:00:00,10756.000000000931,2,17
2015-09-02 18:00:00,11438.999999999069,2,18
2015-09-02 19:00:00,10558.000000000931,2,19
2015-09-02 20:00:00,11581.0,2,20
2015-09-02 21:00:00,10417.0,2,21
2015-09-02 22:00:00,7603.999999999069,2,22
2015-09-02 23:00:00,3533.0000000009313,2,23
2015-09-03 00:00:00,3544.0000000009313,3,0
2015-09-03 01:00:00,3475.0,3,1
2015-09-03 02:00:00,3624.9999999990687,3,2
2015-09-03 03:00:00,3614.0000000009313,3,3
2015-09-03 04:00:00,3495.0,3,4
2015-09-03 05:00:00,4251.999999999069,3,5
2015-09-03 06:00:00,3924.0,3,6
2015-09-03 07:00:00,3907.0,3,7
2015-09-03 08:00:00,6258.0,3,8
2015-09-03 09:00:00,12641.0,3,9
2015-09-03 10:00:00,12983.000000000931,3,10
2015-09-03 11:00:00,13082.999999999069,3,11
2015-09-03 12:00:00,13253.0,3,12
2015-09-03 13:00:00,8980.0,3,13
2015-09-03 14:00:00,9572.999999999069,3,14
2015-09-03 15:00:00,13417.000000000931,3,15
2015-09-03 16:00:00,14170.999999999069,3,16
2015-09-03 17:00:00,13401.999999999069,3,17
2015-09-03 18:00:00,13227.000000001863,3,18
2015-09-03 19:00:00,12326.0,3,19
2015-09-03 20:00:00,12424.999999999069,3,20
2015-09-03 21:00:00,11149.0,3,21
2015-09-03 22:00:00,7053.999999999069,3,22
2015-09-03 23:00:00,3633.0000000009313,3,23
2015-09-04 00:00:00,3445.0,4,0
2015-09-04 01:00:00,3574.0,4,1
2015-09-04 02:00:00,3585.0,4,2
2015-09-04 03:00:00,3654.0000000009313,4,3
2015-09-04 04:00:00,3614.9999999990687,4,4
2015-09-04 05:00:00,4167.0,4,5
2015-09-04 06:00:00,3849.0,4,6
2015-09-04 07:00:00,4011.0,4,7
2015-09-04 08:00:00,4494.0,4,8
2015-09-04 09:00:00,7975.0,4,9
2015-09-04 10:00:00,13898.0,4,10
2015-09-04 11:00:00,14706.0,4,11
2015-09-04 12:00:00,14173.0,4,12
2015-09-04 13:00:00,15265.999999999069,4,13
2015-09-04 14:00:00,13156.000000001863,4,14
2015-09-04 15:00:00,14570.0,4,15
2015-09-04 16:00:00,13896.999999999069,4,16
2015-09-04 17:00:00,13756.0,4,17
2015-09-04 18:00:00,13681.0,4,18
2015-09-04 19:00:00,12282.0,4,19
2015-09-04 20:00:00,13272.0,4,20
2015-09-04 21:00:00,12955.0,4,21
2015-09-04 22:00:00,11315.999999999069,4,22
2015-09-04 23:00:00,3547.0000000009313,4,23
2015-09-05 00:00:00,3575.0000000009313,5,0
