datetime,GF,day,hour
2016-02-01 00:00:00,2602.9999999962747,1,0
2016-02-01 01:00:00,2809.000000009313,1,1
2016-02-01 02:00:00,2942.999999994412,1,2
2016-02-01 03:00:00,2864.0,1,3
2016-02-01 04:00:00,2799.9999999962747,1,4
2016-02-01 05:00:00,2805.0000000037253,1,5
2016-02-01 06:00:00,2906.0000000037253,1,6
2016-02-01 07:00:00,2925.9999999962747,1,7
2016-02-01 08:00:00,2876.0000000018626,1,8
2016-02-01 09:00:00,4035.0000000018626,1,9
2016-02-01 10:00:00,6574.999999996275,1,10
2016-02-01 11:00:00,6380.000000001863,1,11
2016-02-01 12:00:00,6240.999999998137,1,12
2016-02-01 13:00:00,6388.0,1,13
2016-02-01 14:00:00,6278.000000001863,1,14
2016-02-01 15:00:00,6405.999999996275,1,15
2016-02-01 16:00:00,6546.999999998137,1,16
2016-02-01 17:00:00,6868.000000007451,1,17
2016-02-01 18:00:00,6629.0,1,18
2016-02-01 19:00:00,6441.0,1,19
2016-02-01 20:00:00,6407.999999994412,1,20
2016-02-01 21:00:00,6333.000000003725,1,21
2016-02-01 22:00:00,4831.000000001863,1,22
2016-02-01 23:00:00,2893.9999999962747,1,23
2016-02-02 00:00:00,2727.0,2,0
2016-02-02 01:00:00,2663.0,2,1
2016-02-02 02:00:00,2685.0000000037253,2,2
2016-02-02 03:00:00,2787.9999999962747,2,3
2016-02-02 04:00:00,2664.9999999962747,2,4
2016-02-02 05:00:00,2680.0000000037253,2,5
2016-02-02 06:00:00,2670.9999999981374,2,6
2016-02-02 07:00:00,2958.0000000018626,2,7
2016-02-02 08:00:00,2834.0000000018626,2,8
2016-02-02 09:00:00,3204.9999999981374,2,9
2016-02-02 10:00:00,5924.000000003725,2,10
2016-02-02 11:00:00,6507.999999996275,2,11
2016-02-02 12:00:00,6332.0,2,12
2016-02-02 13:00:00,6270.000000003725,2,13
2016-02-02 14:00:00,6207.0,2,14
2016-02-02 15:00:00,6219.999999994412,2,15
2016-02-02 16:00:00,6344.000000009313,2,16
2016-02-02 17:00:00,6430.999999985099,2,17
2016-02-02 18:00:00,6466.000000011176,2,18
2016-02-02 19:00:00,6298.999999992549,2,19
2016-02-02 20:00:00,6600.000000005588,2,20
2016-02-02 21:00:00,6238.999999990687,2,21
2016-02-02 22:00:00,3666.0000000037253,2,22
2016-02-02 23:00:00,2665.0,2,23
2016-02-03 00:00:00,2802.0000000037253,3,0
2016-02-03 01:00:00,2703.0000000018626,3,1
2016-02-03 02:00:00,2603.9999999981374,3,2
