datetime,GF,day,hour
2015-12-01 00:00:00,0.0,1,0
2015-12-01 01:00:00,0.0,1,1
2015-12-01 02:00:00,0.0,1,2
2015-12-01 03:00:00,0.0,1,3
2015-12-01 04:00:00,0.0,1,4
2015-12-01 05:00:00,0.0,1,5
2015-12-01 06:00:00,0.0,1,6
2015-12-01 07:00:00,0.0,1,7
2015-12-01 08:00:00,0.0,1,8
2015-12-01 09:00:00,0.0,1,9
2015-12-01 10:00:00,0.0,1,10
2015-12-01 11:00:00,0.0,1,11
2015-12-01 12:00:00,0.0,1,12
2015-12-01 13:00:00,0.0,1,13
2015-12-01 14:00:00,0.0,1,14
2015-12-01 15:00:00,0.0,1,15
2015-12-01 16:00:00,0.0,1,16
2015-12-01 17:00:00,0.0,1,17
2015-12-01 18:00:00,0.0,1,18
2015-12-01 19:00:00,0.0,1,19
2015-12-01 20:00:00,0.0,1,20
2015-12-01 21:00:00,0.0,1,21
2015-12-01 22:00:00,0.0,1,22
2015-12-01 23:00:00,0.0,1,23
2015-12-02 00:00:00,0.0,2,0
2015-12-02 01:00:00,0.0,2,1
2015-12-02 02:00:00,0.0,2,2
2015-12-02 03:00:00,0.0,2,3
2015-12-02 04:00:00,0.0,2,4
2015-12-02 05:00:00,0.0,2,5
2015-12-02 06:00:00,0.0,2,6
2015-12-02 07:00:00,0.0,2,7
2015-12-02 08:00:00,0.0,2,8
2015-12-02 09:00:00,0.0,2,9
2015-12-02 10:00:00,0.0,2,10
2015-12-02 11:00:00,0.0,2,11
2015-12-02 12:00:00,0.0,2,12
2015-12-02 13:00:00,0.0,2,13
2015-12-02 14:00:00,0.0,2,14
2015-12-02 15:00:00,0.0,2,15
2015-12-02 16:00:00,0.0,2,16
2015-12-02 17:00:00,0.0,2,17
2015-12-02 18:00:00,0.0,2,18
2015-12-02 19:00:00,0.0,2,19
2015-12-02 20:00:00,0.0,2,20
2015-12-02 21:00:00,0.0,2,21
2015-12-02 22:00:00,0.0,2,22
2015-12-02 23:00:00,0.0,2,23
2015-12-03 00:00:00,0.0,3,0
2015-12-03 01:00:00,0.0,3,1
2015-12-03 02:00:00,0.0,3,2
2015-12-03 03:00:00,0.0,3,3
2015-12-03 04:00:00,0.0,3,4
2015-12-03 05:00:00,0.0,3,5
2015-12-03 06:00:00,0.0,3,6
2015-12-03 07:00:00,0.0,3,7
2015-12-03 08:00:00,0.0,3,8
2015-12-03 09:00:00,0.0,3,9
2015-12-03 10:00:00,0.0,3,10
2015-12-03 11:00:00,0.0,3,11
2015-12-03 12:00:00,0.0,3,12
2015-12-03 13:00:00,0.0,3,13
2015-12-03 14:00:00,0.0,3,14
2015-12-03 15:00:00,0.0,3,15
2015-12-03 16:00:00,0.0,3,16
2015-12-03 17:00:00,0.0,3,17
2015-12-03 18:00:00,0.0,3,18
2015-12-03 19:00:00,0.0,3,19
2015-12-03 20:00:00,0.0,3,20
2015-12-03 21:00:00,0.0,3,21
2015-12-03 22:00:00,0.0,3,22
2015-12-03 23:00:00,0.0,3,23
2015-12-04 00:00:00,0.0,4,0
2015-12-04 01:00:00,0.0,4,1
2015-12-04 02:00:00,0.0,4,2
2015-12-04 03:00:00,0.0,4,3
2015-12-04 04:00:00,0.0,4,4
2015-12-04 05:00:00,0.0,4,5
2015-12-04 06:00:00,0.0,4,6
2015-12-04 07:00:00,0.0,4,7
2015-12-04 08:00:00,0.0,4,8
2015-12-04 09:00:00,0.0,4,9
2015-12-04 10:00:00,0.0,4,10
2015-12-04 11:00:00,0.0,4,11
2015-12-04 12:00:00,0.0,4,12
2015-12-04 13:00:00,0.0,4,13
2015-12-04 14:00:00,0.0,4,14
2015-12-04 15:00:00,0.0,4,15
2015-12-04 16:00:00,0.0,4,16
2015-12-04 17:00:00,0.0,4,17
2015-12-04 18:00:00,0.0,4,18
2015-12-04 19:00:00,0.0,4,19
2015-12-04 20:00:00,0.0,4,20
2015-12-04 21:00:00,0.0,4,21
2015-12-04 22:00:00,0.0,4,22
2015-12-04 23:00:00,0.0,4,23
2015-12-05 00:00:00,0.0,5,0
2015-12-05 01:00:00,0.0,5,1
2015-12-05 02:00:00,0.0,5,2
2015-12-05 03:00:00,0.0,5,3
2015-12-05 04:00:00,0.0,5,4
2015-12-05 05:00:00,0.0,5,5
2015-12-05 06:00:00,0.0,5,6
2015-12-05 07:00:00,0.0,5,7
