datetime,GF,day,hour
2016-01-05 18:00:00,9082.000000003725,5,18
2016-01-05 19:00:00,8821.999999998137,5,19
2016-01-05 20:00:00,8384.000000001863,5,20
2016-01-05 21:00:00,8360.999999996275,5,21
2016-01-05 22:00:00,6912.999999996275,5,22
2016-01-05 23:00:00,3531.0000000037253,5,23
2016-01-06 00:00:00,2968.0,6,0
2016-01-06 01:00:00,2990.0000000074506,6,1
2016-01-06 02:00:00,3019.9999999925494,6,2
2016-01-06 03:00:00,3036.0,6,3
2016-01-06 04:00:00,3000.0,6,4
2016-01-06 05:00:00,2940.0,6,5
2016-01-06 06:00:00,3003.0000000037253,6,6
2016-01-06 07:00:00,3231.9999999962747,6,7
2016-01-06 08:00:00,3074.999999994412,6,8
2016-01-06 09:00:00,4465.0000000130385,6,9
2016-01-06 10:00:00,10006.99999999255,6,10
2016-01-06 11:00:00,9073.000000003725,6,11
2016-01-06 12:00:00,9717.99999999255,6,12
2016-01-06 13:00:00,9146.999999998137,6,13
2016-01-06 14:00:00,10401.000000003725,6,14
2016-01-06 15:00:00,9231.000000001863,6,15
2016-01-06 16:00:00,9215.0,6,16
2016-01-06 17:00:00,9658.0,6,17
2016-01-06 18:00:00,10223.0,6,18
2016-01-06 19:00:00,9142.0,6,19
2016-01-06 20:00:00,8975.999999996275,6,20
2016-01-06 21:00:00,8559.000000003725,6,21
2016-01-06 22:00:00,5724.999999992549,6,22
2016-01-06 23:00:00,3120.0000000074506,6,23
2016-01-07 00:00:00,3041.9999999962747,7,0
2016-01-07 01:00:00,2963.0000000037253,7,1
2016-01-07 02:00:00,2964.0,7,2
2016-01-07 03:00:00,3060.9999999962747,7,3
2016-01-07 04:00:00,3032.0000000037253,7,4
2016-01-07 05:00:00,3012.9999999962747,7,5
2016-01-07 06:00:00,2936.9999999981374,7,6
2016-01-07 07:00:00,3201.000000005588,7,7
2016-01-07 08:00:00,3202.999999994412,7,8
2016-01-07 09:00:00,4466.000000005588,7,9
2016-01-07 10:00:00,8474.000000003725,7,10
2016-01-07 11:00:00,8156.999999996275,7,11
2016-01-07 12:00:00,8497.000000001863,7,12
2016-01-07 13:00:00,8265.999999994412,7,13
2016-01-07 14:00:00,8361.000000009313,7,14
2016-01-07 15:00:00,9483.999999994412,7,15
2016-01-07 16:00:00,8634.999999996275,7,16
2016-01-07 17:00:00,8222.000000003725,7,17
2016-01-07 18:00:00,8076.0,7,18
2016-01-07 19:00:00,8927.999999994412,7,19
2016-01-07 20:00:00,6778.000000007451,7,20
2016-01-07 21:00:00,6629.000000001863,7,21
2016-01-07 22:00:00,5902.0,7,22
2016-01-07 23:00:00,4955.999999996275,7,23
2016-01-08 00:00:00,3112.0,8,0
2016-01-08 01:00:00,2947.0000000037253,8,1
2016-01-08 02:00:00,2954.0,8,2
2016-01-08 03:00:00,2961.9999999962747,8,3
2016-01-08 04:00:00,3008.0000000037253,8,4
2016-01-08 05:00:00,2959.9999999962747,8,5
2016-01-08 06:00:00,2906.0,8,6
2016-01-08 07:00:00,3069.9999999962747,8,7
2016-01-08 08:00:00,3181.0000000074506,8,8
2016-01-08 09:00:00,4267.999999996275,8,9
2016-01-08 10:00:00,8195.0,8,10
2016-01-08 11:00:00,8286.0,8,11
2016-01-08 12:00:00,9348.000000003725,8,12
2016-01-08 13:00:00,8335.999999990687,8,13
2016-01-08 14:00:00,8686.000000001863,8,14
2016-01-08 15:00:00,8726.000000005588,8,15
2016-01-08 16:00:00,8296.999999994412,8,16
2016-01-08 17:00:00,7917.000000003725,8,17
2016-01-08 18:00:00,7854.0,8,18
2016-01-08 19:00:00,7886.000000001863,8,19
2016-01-08 20:00:00,7083.999999998137,8,20
2016-01-08 21:00:00,7534.999999996275,8,21
2016-01-08 22:00:00,7490.000000003725,8,22
2016-01-08 23:00:00,7431.000000001863,8,23
